Character name	Freebase character ID	title	filtered_descriptions	X	Y	Z	labels	Wikipedia ID	death	romance	Release date	Gender	Height	Ethnicity	Actor name	Actor age at release	Box office revenue	Genres	Name
Chad	/m/0gxn3j1		['throw', 'attempt', 'lead']	-14.098379	-4.3684015	-5.3283367	2	26255812		False	2010.0	M	1.7		Jesse Moss	26.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil
Allison	/m/0gxn3_8		['startle', 'talk', 'restrain']	-12.224741	-2.3046615	0.9430779	2	26255812		False	2010.0	F	1.75		Katie Bowden	21.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil
Naomi	/m/0gxn3jd		['get', 'save', 'kill']	34.15047	5.830875	15.984564	18	26255812		False	2010.0	F			Christie Laing		4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil
Chuck	/m/0gxn3jp		['kill', 'shoot', 'leave']	-19.608849	24.378254	-23.667463	9	26255812		False	2010.0	M	1.79		Travis Nelson	19.0	4749516.0	['Comedy', 'Horror']	Tucker & Dale vs Evil
Chet	/m/0gvd8db		['hide', 'beat', 'reason']	-20.540974	23.920443	-18.829826	9	28370864		False	2011.0	M	1.68	/m/0b__fv3	Aziz Ansari	28.0	40000000.0	['Comedy', 'Action', 'Crime Fiction']	30 Minutes or Less
Kate	/m/0gvd8dj		['manage', 'money', 'turn']	-21.061016	29.689665	-21.68838	9	28370864		False	2011.0	F	1.57	/m/04gfy7	Dilshad Vadsaria	25.0	40000000.0	['Comedy', 'Action', 'Crime Fiction']	30 Minutes or Less
Luke	/m/0gdjxpp	['reporter']	['get', 'come', 'manage']	20.903934	-2.1040225	32.277985	34	27463222		False	2010.0	M	1.87		Hayden Christensen	29.0		['Thriller', 'Horror', 'Mystery']	Vanishing on 7th Street
John Steele	/m/0g9hwg_		['suspect', 'know', 'vet']	42.404007	1.9928508	22.065771	18	24789475		False	1987.0	M	1.85	/m/041rx	Martin Kove	40.0	1327740.0	['Drama', 'Action', 'Thriller']	Steele Justice
Cindi Whitehall	/m/0h5v949		['reveal', 'spot', 'say']	22.86207	-24.39849	7.4867706	31	21029252		False	2009.0	F			Raquel Alessi	26.0	4591629.0	['Comedy', 'Teen', 'Buddy film']	Miss March
Young Tucker	/m/0h5v93y		['apologise', 'devise', 'tell']	13.781529	-1.0669249	5.5560045	2	21029252		False	2009.0	M			Remy Thorne	13.0	4591629.0	['Comedy', 'Teen', 'Buddy film']	Miss March
Bobby Ewing	/m/0h5hlq3		['figure', 'get', 'lose']	10.587559	1.1464106	10.019729	2	5175724		False	1996.0	M	1.87		Patrick Duffy	46.0		['Drama', 'Family Drama']	Dallas: J.R. Returns
Bobby Ewing	/m/0h5hlq3		['figure', 'get', 'lose']	10.587559	1.1464106	10.019729	2	30838779		False	2012.0	M	1.87		Patrick Duffy			['Drama']	Dallas
Col. Sam Daniels	/m/0h1t0c4	['Colonel']	['realize', 'arrest', 'confront']	-3.3808348	34.994102	8.975696	1	733927		False	1995.0	M	1.66	/m/041rx	Dustin Hoffman	57.0	189859560.0	['Drama', 'Action', 'Thriller']	Outbreak
Robby Keough	/m/0h1b9g8	['owner']	['make', 'save', 'team']	17.401096	33.00388	-15.1314125	10	733927		False	1995.0	F	1.73	/m/0xnvg	Rene Russo	41.0	189859560.0	['Drama', 'Action', 'Thriller']	Outbreak
John W. Burns	/m/0h1356r	['deputy']	['hide', 'appear', 'work']	-15.144211	34.059383	2.7091732	36	2165590		False	1962.0	M	1.75	/m/09kr66	Kirk Douglas	45.0		['Drama', 'Black-and-white', 'Action/Adventure']	Lonely are the Brave
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14746975		False	1956.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Creeps
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14362599		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Cactus Makes Perfect
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	11948988		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Baby Sitters' Jitters
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14736920		False	1946.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	The Three Troubledoers
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14734879		False	1957.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Rusty Romeos
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14738272		False	1950.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Punchy Cowpunchers
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14746962		False	1956.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Husbands Beware
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14683800		False	1957.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Guns a Poppin!
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14615533		False	1955.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Wham Bam Slam
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14470060		False	1959.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Sappy Bull Fighters
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14740084		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Corny Casanovas
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14746807		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Fling in the Ring
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	9062834		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Dizzy Detectives
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14502344		False	1942.0	M	1.62		Moe Howard			['Black-and-white', 'Short Film']	Matri-Phony
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14740284		False	1952.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Cuckoo on a Choo Choo
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14738854		False	1950.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Love at First Bite
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14570274		False	1944.0	M	1.62		Moe Howard			['Black-and-white', 'Short Film', 'Propaganda film']	The Yoke's on Me
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14737193		False	1947.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Out West
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	7987214		False	1957.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Muscle Up a Little Closer
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	12982972		False	1955.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Bedlam in Paradise
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	13730827		False	1948.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Mummy's Dummies
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14738953		False	1950.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Three Hams on Rye
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	3997811		False	1962.0	M	1.62		Moe Howard			['Comedy', 'Adventure', 'Science Fiction']	The Three Stooges in Orbit
